Date,Prices,,,,,,,,,,,,,
01-12-2015,3755,,,,,,,,,,,,,
02-12-2015,3700,,,,,,,,,,,,,
03-12-2015,3800,,,,,,,,,,,,,
04-12-2015,3800,,,,,,,,,,,,,
05-12-2015,3805,,,,,,,,,,,,,
06-12-2015,3800,,,,,,,,,,,,,
07-12-2015,3810,,,,,,,,,,,,,
08-12-2015,3850,,,,,,,,,,,,,
09-12-2015,3850,,,,,,,,,,,,,
10-12-2015,3850,,,,,,,,,,,,,
11-12-2015,3850,,,,,,,,,,,,,
12-12-2015,3860,,,,,,,,,,,,,
13-12-2015,3860,,,,,,,,,,,,,
14-12-2015,3860,,,,,,,,,,,,,
15-12-2015,3800,,,,,,,,,,,,,
16-12-2015,3800,,,,,,,,,,,,,
17-12-2015,3800,,,,,,,,,,,,,
18-12-2015,3800,,,,,,,,,,,,,
19-12-2015,3800,,,,,,,,,,,,,
20-12-2015,3800,,,,,,,,,,,,,
21-12-2015,3800,,,,,,,,,,,,,
22-12-2015,3800,,,,,,,,,,,,,
23-12-2015,3800,,,,,,,,,,,,,
24-12-2015,3800,,,,,,,,,,,,,
25-12-2015,3790,,,,,,,,,,,,,
26-12-2015,3800,,,,,,,,,,,,,
27-12-2015,3800,,,,,,,,,,,,,
28-12-2015,3800,,,,,,,,,,,,,
29-12-2015,3800,,,,,,,,,,,,,
30-12-2015,3800,,,,,,,,,,,,,
31-12-2015,3800,,,,,,,,,,,,,
